Date : 2026-01-29 23:56:07
Directory : /Users/bespin-starter/Documents/personal_projects/BesPick
Total : 150 files,  40002 codes, 34 comments, 2553 blanks, all 42589 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/admin/announcement-form/sections/FormSettingsSection.tsx                | TypeScript JSX     |        138 |          0 |          9 |        147 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/admin/announcement-form/sections/FundraiserSettingsSection.tsx          | TypeScript JSX     |         55 |          0 |          7 |         62 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/admin/announcement-form/sections/GiveawaySettingsSection.tsx            | TypeScript JSX     |        185 |          0 |         11 |        196 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/admin/announcement-form/sections/ImageUploadSection.tsx                 | TypeScript JSX     |         91 |          1 |          3 |         95 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/admin/announcement-form/sections/PollOptionsSection.tsx                 | TypeScript JSX     |         53 |          0 |          3 |         56 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/admin/announcement-form/sections/PollSettingsSection.tsx                | TypeScript JSX     |        138 |          0 |          9 |        147 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/admin/announcement-form/sections/SchedulingSection.tsx                  | TypeScript JSX     |         64 |          0 |          5 |         69 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/admin/announcement-form/sections/VotingSettingsSection.tsx              | TypeScript JSX     |        368 |          0 |         19 |        387 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/admin/announcement-form/sections/form-builder/form-builder-constants.ts | TypeScript         |         89 |          0 |          4 |         93 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/admin/announcement-form/types.ts                                        | TypeScript         |         15 |          0 |          4 |         19 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/announcements/announcement-modal.tsx                                    | TypeScript JSX     |        144 |          2 |          9 |        155 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/auth/auth-shell.tsx                                                     | TypeScript JSX     |         78 |          0 |          6 |         84 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/boost/paypal-checkout.tsx                                               | TypeScript JSX     |        498 |          2 |         32 |        532 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/forms/form-modal.tsx                                                    | TypeScript JSX     |      1,089 |          2 |         50 |      1,141 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/forms/form-submissions-modal.tsx                                        | TypeScript JSX     |        460 |          0 |         22 |        482 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/fundraiser/fundraiser-modal.tsx                                         | TypeScript JSX     |        669 |          2 |         33 |        704 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/giveaway/giveaway-modal.tsx                                             | TypeScript JSX     |        768 |          2 |         38 |        808 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/header/assignment-modal.tsx                                             | TypeScript JSX     |        193 |          0 |         12 |        205 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/header/header-actions.tsx                                               | TypeScript JSX     |        418 |          0 |         30 |        448 |
